first_name,last_name,birth_date,discharge_date,org_id,org_name
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
PAUL SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG SUNG,JEONG,1988-02-22,2025-08-12,4070,Army
